ID,harga jual
1744,"0,00"
1745,"0,00"
1746,"0,00"
1747,"0,00"
1748,"0,00"
1749,"0,00"
1750,"0,00"
1751,"0,00"
1752,"0,00"
1753,"0,00"
1754,"0,00"
1755,"0,00"
1756,"0,00"
1757,"0,00"
1758,"0,00"
1759,"0,00"
1760,"0,00"
1761,"0,00"
1762,"0,00"
1763,"0,00"
1764,"0,00"
1765,"0,00"
1766,"0,00"
1767,"223,66"
1768,"2.165,97"
1769,"0,00"
1770,"437.229,00"
1771,"0,00"
1772,"8.818,76"
1773,"6.560,68"
1774,"5.666,04"
1775,"3.181,50"
1776,"1.207,76"
1777,"50.725,96"
1778,"39.350,61"
1779,"23.685,54"
1780,"6.162,01"
1781,"0,00"
1782,"0,00"
1783,"0,00"
1784,"0,00"
1785,"0,00"
1786,"0,00"
1787,"0,00"
1788,"0,00"
1789,"0,00"
1790,"0,00"
1791,"0,00"
1792,"0,00"
1793,"0,00"
1794,"0,00"
1795,"0,00"
1796,"0,00"
1797,"0,00"
1798,"0,00"
2000,"11.367,95"
2001,"0,00"
2002,"0,00"
2003,"109.307,25"
2125,"91.818,09"
2129,"0,00"
2130,"0,00"
2131,"0,00"
2132,"52.958,66"
2133,"0,00"
2134,"13.918,31"
2135,"15.400,18"
2136,"18.992,88"
2137,"1.967,53"
2138,"3.060,60"
2139,"12.242,41"
2140,"290.174,31"
2141,"0,00"
2142,"21.861,45"
2143,"0,00"
2144,"3.490,56"
2145,"0,00"
2146,"36.843,83"
2147,"814,06"
2148,"19.675,31"
2149,"52.467,48"
2150,"72.462,83"
2151,"10.149,95"
2152,"6.337,02"
2153,"7.505,76"
2154,"2.986,61"
2155,"606,66"
2156,"5.605,50"
2157,"8.875,36"
2158,"1.171,08"
2159,"35.707,04"
2160,"0,00"
2161,"1.010,00"
2162,"32.282,07"
2163,"0,00"
2164,"3.789,32"
2165,"0,00"
2166,"0,00"
2167,"94.732,95"
2168,"6.194,08"
2169,"0,00"
2170,"11.659,44"
2171,"47.366,48"
2172,"40.079,33"
2173,"55.382,34"
2174,"134.195,67"
2175,"0,00"
2176,"22.444,42"
2177,"12.037,35"
2178,"36.496,12"
2179,"28.702,96"
2180,"42.838,24"
2181,"71.056,61"
2182,"19.122,88"
2183,"0,00"
2184,"60.984,48"
2185,"60.984,48"
2186,"21.247,65"
2187,"18.089,43"
2188,"0,00"
2189,"641,16"
2190,"4.448,59"
2191,"788,19"
2192,"1.789,28"
2193,"130.998,62"
2194,"0,00"
2195,"12.379,85"
2196,"1.043,74"
2197,"11.395,18"
2198,"0,00"
2199,"0,00"
2200,"0,00"
2201,"0,00"
2202,"5.683,98"
2203,"1.789,28"
2204,"20.263,55"
2205,"139.560,79"
2206,"0,00"
2207,"0,00"
2208,"447,32"
2209,"0,00"
2210,"0,00"
2211,"0,00"
2212,"0,00"
2213,"123.012,70"
2214,"0,00"
2215,"0,00"
2216,"0,00"
2217,"0,00"
2218,"0,00"
2219,"0,00"
2220,"347.669,93"
2221,"0,00"
2222,"0,00"
2223,"0,00"
2224,"0,00"
2225,"3.497,83"
2226,"1.706.900,00"
2227,"0,00"
2228,"0,00"
2229,"129.280,00"
2230,"108.070,00"
2231,"0,00"
2232,"0,00"
2233,"0,00"
2234,"0,00"
2235,"0,00"
2236,"0,00"
2237,"0,00"
2238,"0,00"
2239,"0,00"
2240,"28.715,31"
2241,"0,00"
2242,"0,00"
2243,"0,00"
2244,"0,00"
2245,"0,00"
2246,"0,00"
2247,"0,00"
2248,"0,00"
2249,"0,00"
2250,"0,00"
2251,"0,00"
2252,"0,00"
2253,"0,00"
2254,"0,00"
2255,"0,00"
2256,"4.622,30"
2257,"0,00"
2258,"2.236,59"
2259,"0,00"
2260,"0,00"
2261,"0,00"
2262,"0,00"
2263,"36.107,50"
2264,"36.107,50"
2265,"38.885,00"
2266,"0,00"
2267,"0,00"
2268,"51.604,68"
2269,"94.149,98"
2270,"156.136,71"
2271,"0,00"
2272,"0,00"
2273,"186.850,00"
2274,"0,00"
2275,"0,00"
2276,"0,00"
2277,"0,00"
2278,"4.858,10"
2279,"0,00"
2280,"0,00"
2281,"0,00"
2282,"0,00"
2283,"13.130,00"
2284,"0,00"
2285,"0,00"
2286,"0,00"
2287,"0,00"
2288,"305.667,92"
2289,"2.982,13"
2290,"0,00"
,"0,00"
